game_id,away,home,away_rank,home_rank,away_score,home_score,date
401168505,Pittsburgh,Louisville,NA,1,46,64,2019-12-06
401166103,Iowa,Michigan,NA,4,91,103,2019-12-06
401170519,Duke,Virginia Tech,10,NA,77,63,2019-12-06
401175052,Chicago State,Tennessee State,NA,NA,74,80,2019-12-06
401168429,Providence,Rhode Island,NA,NA,61,75,2019-12-06
401172280,Columbia,Bryant,NA,NA,65,67,2019-12-06
401172609,UT Martin,Central Michigan,NA,NA,75,84,2019-12-06
401174740,Carver College,Georgia Southern,NA,NA,70,100,2019-12-06
401173218,Southern-New Orleans,SE Louisiana,NA,NA,74,79,2019-12-06
401177956,Mount Marty,South Dakota,NA,NA,79,94,2019-12-06
401169878,Stephen F. Austin,Alabama,NA,NA,68,78,2019-12-06
401170021,Dartmouth,South Florida,NA,NA,44,63,2019-12-06
401173609,Mississippi Valley State,Missouri State,NA,NA,62,86,2019-12-06
401175587,Mid-America Christian,UT Rio Grande Valley,NA,NA,50,92,2019-12-06
401166473,Idaho State,Pepperdine,NA,NA,65,77,2019-12-06
401169645,USC,TCU,NA,NA,80,78,2019-12-06
401166474,North Dakota,Montana,NA,NA,70,77,2019-12-06
401174440,Cal Lutheran,UC Riverside,NA,NA,40,74,2019-12-06
401166475,CSU Northridge,Portland State,NA,NA,67,73,2019-12-06
